2023 Lower Weather Meterological Hourly Data (Summary),,
,,
Reference Dataset with the following format:,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",
1/25/2023 21:45,236.7,1.601
1/25/2023 22:00,236.7,2.067
1/25/2023 22:15,236.7,2.33
1/25/2023 22:30,236.7,1.632
1/25/2023 22:45,236.7,1.734
1/25/2023 23:00,236.7,1.722
1/25/2023 23:15,236.7,0.752
1/25/2023 23:30,236.7,0.58
1/25/2023 23:45,236.7,-1.382
1/26/2023 0:00,236.6,-1.272
1/26/2023 0:15,236.7,-1.19
1/26/2023 0:30,236.7,-2.082
1/26/2023 0:45,236.6,-2.386
1/26/2023 1:00,236.7,-2.051
1/26/2023 1:15,236.7,-2.233
1/26/2023 1:30,236.7,-1.838
1/26/2023 1:45,236.8,-1.353
1/26/2023 2:00,236.7,-1.434
1/26/2023 2:15,236.7,-1.898
1/26/2023 2:30,236.7,-1.302
1/26/2023 2:45,236.8,-0.806
1/26/2023 3:00,236.7,0.034
1/26/2023 3:15,236.7,0.126
1/26/2023 3:30,236.8,0.68
1/26/2023 3:45,236.7,1.126
1/26/2023 4:00,236.7,1.46
1/26/2023 4:15,236.8,1.004
1/26/2023 4:30,236.8,0.286
1/26/2023 4:45,236.9,-0.806
1/26/2023 5:00,236.7,-0.36
1/26/2023 5:15,236.8,0.864
1/26/2023 5:30,236.7,1.744
1/26/2023 5:45,236.8,1.41
1/26/2023 6:00,236.7,1.884
1/26/2023 6:15,236.7,2.39
1/26/2023 6:30,236.7,2.532
1/26/2023 6:45,236.7,1.52
1/26/2023 7:00,236.7,2.522
1/26/2023 7:15,236.7,3.159
1/26/2023 7:30,236.7,3.058
1/26/2023 7:45,236.6,2.774
1/26/2023 8:00,236.7,2.674
1/26/2023 8:15,236.6,2.602
1/26/2023 8:30,236.6,1.966
1/26/2023 8:45,236.6,2.046
1/26/2023 9:00,236.6,2.168
1/26/2023 9:15,236.7,2.492
1/26/2023 9:30,236.7,3.036
1/26/2023 9:45,236.6,3.188
1/26/2023 10:00,236.6,3.118
1/26/2023 10:15,236.6,3.461
1/26/2023 10:30,236.7,3.966
1/26/2023 10:45,236.7,4.128
1/26/2023 11:00,236.8,4.29
1/26/2023 11:15,236.6,4.078
1/26/2023 11:30,236.6,4.209
1/26/2023 11:45,236.6,4.228
1/26/2023 12:00,236.6,4.3
1/26/2023 12:15,236.7,4.452
1/26/2023 12:30,236.5,4.594
1/26/2023 12:45,236.6,4.088
1/26/2023 13:00,236.2,4.411
1/26/2023 13:15,236.5,4.411
1/26/2023 13:30,236.3,4.694
1/26/2023 13:45,236.5,4.947
1/26/2023 14:00,236.5,4.937
1/26/2023 14:15,236.3,4.704
1/26/2023 14:30,236.5,4.835
1/26/2023 14:45,236.5,4.835
1/26/2023 15:00,236.3,4.724
1/26/2023 15:15,236.4,4.805
1/26/2023 15:30,236.4,5.25
1/26/2023 15:45,236.4,5.442
1/26/2023 16:00,236.5,5.452
1/26/2023 16:15,236.4,5.824
1/26/2023 16:30,236.3,5.592
1/26/2023 16:45,236.3,5.856
1/26/2023 17:00,236.4,5.27
1/26/2023 17:15,236.4,4.937
1/26/2023 17:30,236.4,4.714
1/26/2023 17:45,236.4,3.32
1/26/2023 18:00,236.4,2.896
1/26/2023 18:15,236.4,2.259
1/26/2023 18:30,236.4,2.532
1/26/2023 18:45,236.4,2.42
1/26/2023 19:00,236.4,2.572
1/26/2023 19:15,236.4,2.633
1/26/2023 19:30,236.5,2.562
1/26/2023 19:45,236.3,2.512
1/26/2023 20:00,236.5,2.39
1/26/2023 20:15,236.5,2.32
1/26/2023 20:30,236.5,2.228
1/26/2023 20:45,236.4,2.198
1/26/2023 21:00,236.6,2.654
1/26/2023 21:15,236.5,2.612
1/26/2023 21:30,236.5,2.724
1/26/2023 21:45,236.5,2.916
1/26/2023 22:00,236.5,2.654
1/26/2023 22:15,236.5,2.794
1/26/2023 22:30,236.5,2.532
1/26/2023 22:45,236.5,2.522
1/26/2023 23:00,236.6,2.693
1/26/2023 23:15,236.5,2.794
1/26/2023 23:30,236.5,3.26
1/26/2023 23:45,236.5,2.836
1/27/2023 0:00,236.5,2.997
1/27/2023 0:15,236.5,3.118
1/27/2023 0:30,236.5,3.26
1/27/2023 0:45,236.5,3.26
1/27/2023 1:00,236.5,3.34
1/27/2023 1:15,236.5,3.26
1/27/2023 1:30,236.5,3.239
1/27/2023 1:45,236.5,3.169
1/27/2023 2:00,236.5,3.331
1/27/2023 2:15,236.5,3.442
1/27/2023 2:30,236.5,3.401
1/27/2023 2:45,236.5,3.179
1/27/2023 3:00,236.5,3.198
1/27/2023 3:15,236.5,3.512
1/27/2023 3:30,236.5,3.461
1/27/2023 3:45,236.5,3.623
1/27/2023 4:00,236.5,3.26
1/27/2023 4:15,236.5,3.28
1/27/2023 4:30,236.5,3.562
1/27/2023 4:45,236.5,3.987
1/27/2023 5:00,236.5,3.886
1/27/2023 5:15,236.5,3.331
1/27/2023 5:30,236.5,4.028
1/27/2023 5:45,236.5,3.886
1/27/2023 6:00,236.5,4.976
1/27/2023 6:15,236.5,4.976
1/27/2023 6:30,236.5,4.947
1/27/2023 6:45,236.5,3.836
1/27/2023 7:00,236.5,3.856
1/27/2023 7:15,236.5,3.522
1/27/2023 7:30,236.5,3.584
1/27/2023 7:45,236.4,3.866
1/27/2023 8:00,236.5,4.028
1/27/2023 8:15,236.5,4.189
1/27/2023 8:30,236.5,3.714
1/27/2023 8:45,236.5,3.179
1/27/2023 9:00,236.5,2.836
1/27/2023 9:15,236.7,2.036
1/27/2023 9:30,236.7,2.087
1/27/2023 9:45,236.7,1.702
1/27/2023 10:00,236.8,1.692
1/27/2023 10:15,236.7,1.702
1/27/2023 10:30,236.8,1.744
1/27/2023 10:45,236.8,2.026
1/27/2023 11:00,236.9,1.864
1/27/2023 11:15,236.8,2.168
1/27/2023 11:30,236.8,2.198
1/27/2023 11:45,236.8,2.37
1/27/2023 12:00,236.8,2.794
1/27/2023 12:15,236.8,2.774
1/27/2023 12:30,236.9,2.744
1/27/2023 12:45,236.9,2.744
1/27/2023 13:00,236.8,3.179
1/27/2023 13:15,236.9,3.28
1/27/2023 13:30,236.8,3.299
1/27/2023 13:45,236.8,3.28
1/27/2023 14:00,236.8,3.31
1/27/2023 14:15,236.8,3.32
1/27/2023 14:30,236.8,3.159
1/27/2023 14:45,236.8,3.036
1/27/2023 15:00,236.9,3.098
1/27/2023 15:15,236.8,3.159
1/27/2023 15:30,236.9,3.401
1/27/2023 15:45,236.8,3.31
1/27/2023 16:00,236.8,3.208
1/27/2023 16:15,236.9,3.108
1/27/2023 16:30,236.7,3.078
1/27/2023 16:45,236.7,3.098
1/27/2023 17:00,236.8,3.198
1/27/2023 17:15,236.9,3.148
1/27/2023 17:30,236.8,3.088
1/27/2023 17:45,236.7,3.017
1/27/2023 18:00,236.8,2.916
1/27/2023 18:15,236.8,2.875
1/27/2023 18:30,236.8,2.836
1/27/2023 18:45,236.8,2.956
1/27/2023 19:00,236.8,2.896
1/27/2023 19:15,236.7,2.674
1/27/2023 19:30,236.8,2.43
1/27/2023 19:45,236.8,2.886
1/27/2023 20:00,236.8,2.875
1/27/2023 20:15,236.8,2.836
1/27/2023 20:30,236.8,2.713
1/27/2023 20:45,236.8,2.268
1/27/2023 21:00,236.9,2.208
1/27/2023 21:15,236.8,1.41
1/27/2023 21:30,236.8,1.268
1/27/2023 21:45,236.8,1.42
1/27/2023 22:00,236.9,1.582
1/27/2023 22:15,236.9,0.914
1/27/2023 22:30,236.9,0.651
1/27/2023 22:45,236.9,0.57
1/27/2023 23:00,236.9,0.084
1/27/2023 23:15,236.9,-0.108
1/27/2023 23:30,236.9,-0.34
1/27/2023 23:45,236.9,0.499
1/28/2023 0:00,236.9,0.813
1/28/2023 0:15,236.9,-0.31
1/28/2023 0:30,236.9,0.994
1/28/2023 0:45,237,1.086
1/28/2023 1:00,236.9,1.338
1/28/2023 1:15,236.9,0.327
1/28/2023 1:30,236.9,0.104
1/28/2023 1:45,236.9,-0.249
1/28/2023 2:00,236.9,-0.3
1/28/2023 2:15,236.9,-0.047
1/28/2023 2:30,236.9,0.307
1/28/2023 2:45,236.9,-0.178
1/28/2023 3:00,236.9,0.074
1/28/2023 3:15,236.9,0.792
1/28/2023 3:30,236.9,-0.016
1/28/2023 3:45,237,0.084
1/28/2023 4:00,236.9,0.126
1/28/2023 4:15,236.9,0.317
1/28/2023 4:30,236.9,0.631
1/28/2023 4:45,237,0.692
1/28/2023 5:00,237,0.67
1/28/2023 5:15,237,0.398
1/28/2023 5:30,236.9,0.368
1/28/2023 5:45,237,0.297
1/28/2023 6:00,237,0.074
1/28/2023 6:15,237.1,-0.036
1/28/2023 6:30,237.1,-0.127
1/28/2023 6:45,237,-0.108
1/28/2023 7:00,237.1,-0.24
1/28/2023 7:15,237,-0.219
1/28/2023 7:30,237,-0.168
1/28/2023 7:45,237,-0.178
1/28/2023 8:00,237,0.327
1/28/2023 8:15,237,0.53
1/28/2023 8:30,237,0.55
1/28/2023 8:45,236.9,0.641
1/28/2023 9:00,236.9,0.499
1/28/2023 9:15,237,0.256
1/28/2023 9:30,237,0.165
1/28/2023 9:45,237,0.246
1/28/2023 10:00,237,0.469
1/28/2023 10:15,237.1,0.873
1/28/2023 10:30,236.9,0.286
1/28/2023 10:45,237,-0.118
1/28/2023 11:00,236.9,0.165
1/28/2023 11:15,237,0.388
1/28/2023 11:30,236.9,0.762
1/28/2023 11:45,237,0.6
1/28/2023 12:00,236.9,0.832
1/28/2023 12:15,236.9,0.985
1/28/2023 12:30,236.8,0.428
1/28/2023 12:45,236.8,0.398
1/28/2023 13:00,236.9,0.62
1/28/2023 13:15,236.9,0.742
1/28/2023 13:30,236.9,0.904
1/28/2023 13:45,236.9,0.479
1/28/2023 14:00,237,0.358
1/28/2023 14:15,236.9,0.732
1/28/2023 14:30,236.9,0.469
1/28/2023 14:45,236.9,0.428
1/28/2023 15:00,236.8,0.307
1/28/2023 15:15,236.8,0.064
1/28/2023 15:30,237,-0.391
1/28/2023 15:45,236.9,-0.584
1/28/2023 16:00,237.1,-0.704
1/28/2023 16:15,237.1,-0.624
1/28/2023 16:30,237,-0.482
1/28/2023 16:45,237,-0.401
1/28/2023 17:00,237.1,-0.624
1/28/2023 17:15,237.2,-0.876
1/28/2023 17:30,237.2,-1.13
1/28/2023 17:45,237.2,-1.392
1/28/2023 18:00,237.3,-1.677
1/28/2023 18:15,237.3,-1.808
1/28/2023 18:30,237.5,-1.859
1/28/2023 18:45,237.6,-2.223
1/28/2023 19:00,237.6,-2.325
1/28/2023 19:15,237.6,-2.366
1/28/2023 19:30,237.7,-2.405
1/28/2023 19:45,237.7,-2.426
1/28/2023 20:00,237.7,-2.618
1/28/2023 20:15,237.8,-2.76
1/28/2023 20:30,237.7,-2.466
1/28/2023 20:45,237.7,-2.892
1/28/2023 21:00,237.7,-2.81
1/28/2023 21:15,237.8,-2.609
1/28/2023 21:30,237.7,-2.73
1/28/2023 21:45,237.7,-2.669
1/28/2023 22:00,237.7,-3.074
1/28/2023 22:15,237.8,-3.116
1/28/2023 22:30,237.7,-3.135
1/28/2023 22:45,237.7,-3.378
1/28/2023 23:00,237.8,-4.189
1/28/2023 23:15,237.7,-5.061
1/28/2023 23:30,237.8,-5.74
1/28/2023 23:45,237.8,-4.452
1/29/2023 0:00,237.8,-5.832
1/29/2023 0:15,237.8,-5.497
1/29/2023 0:30,237.8,-5.932
1/29/2023 0:45,237.9,-5.872
1/29/2023 1:00,237.8,-6.034
1/29/2023 1:15,237.7,-6.156
1/29/2023 1:30,237.9,-6.866
1/29/2023 1:45,237.8,-6.582
1/29/2023 2:00,237.8,-7.688
1/29/2023 2:15,237.9,-7.495
1/29/2023 2:30,237.8,-6.764
1/29/2023 2:45,237.8,-6.622
1/29/2023 3:00,237.9,-6.664
1/29/2023 3:15,237.9,-6.502
1/29/2023 3:30,237.8,-6.846
1/29/2023 3:45,237.9,-7.12
1/29/2023 4:00,237.8,-7.201
1/29/2023 4:15,237.9,-7.546
1/29/2023 4:30,237.8,-8.08
1/29/2023 4:45,237.9,-8.11
1/29/2023 5:00,237.8,-7.921
1/29/2023 5:15,237.9,-7.942
1/29/2023 5:30,237.9,-8.13
1/29/2023 5:45,237.9,-8.13
1/29/2023 6:00,237.9,-7.83
1/29/2023 6:15,237.9,-7.8
1/29/2023 6:30,237.9,-7.88
1/29/2023 6:45,237.9,-7.8
1/29/2023 7:00,237.9,-8.51
1/29/2023 7:15,237.9,-8.69
1/29/2023 7:30,237.9,-8.84
1/29/2023 7:45,237.9,-9.46
1/29/2023 8:00,237.8,-10.21
1/29/2023 8:15,237.9,-9.2
1/29/2023 8:30,237.9,-9.85
1/29/2023 8:45,237.9,-9.39
1/29/2023 9:00,238,-9.69
1/29/2023 9:15,238,-9.02
1/29/2023 9:30,238,-7.952
1/29/2023 9:45,238,-8.6
1/29/2023 10:00,237.9,-7.88
1/29/2023 10:15,237.9,-7.79
1/29/2023 10:30,237.9,-7.09
1/29/2023 10:45,237.9,-7.252
1/29/2023 11:00,237.9,-7.171
1/29/2023 11:15,238,-7.171
1/29/2023 11:30,237.9,-7.272
1/29/2023 11:45,238,-6.48
1/29/2023 12:00,238,-6.166
1/29/2023 12:15,238,-5.984
1/29/2023 12:30,237.9,-6.329
1/29/2023 12:45,237.9,-6.206
1/29/2023 13:00,237.8,-6.238
1/29/2023 13:15,237.8,-6.399
1/29/2023 13:30,237.8,-6.511
1/29/2023 13:45,237.8,-6.258
1/29/2023 14:00,237.8,-6.44
1/29/2023 14:15,237.9,-6.521
1/29/2023 14:30,237.8,-6.734
1/29/2023 14:45,237.9,-6.399
1/29/2023 15:00,237.9,-6.227
1/29/2023 15:15,237.9,-6.866
1/29/2023 15:30,237.9,-6.784
1/29/2023 15:45,237.9,-6.602
1/29/2023 16:00,237.9,-6.399
1/29/2023 16:15,237.9,-5.67
1/29/2023 16:30,237.9,-6.186
1/29/2023 16:45,237.8,-5.436
1/29/2023 17:00,237.9,-6.46
1/29/2023 17:15,237.9,-6.826
1/29/2023 17:30,237.9,-7.191
1/29/2023 17:45,237.8,-7.556
1/29/2023 18:00,237.8,-7.383
1/29/2023 18:15,237.8,-7.921
1/29/2023 18:30,237.8,-8.65
1/29/2023 18:45,237.8,-9.06
1/29/2023 19:00,237.8,-8.92
1/29/2023 19:15,237.8,-8.71
1/29/2023 19:30,237.9,-8.63
1/29/2023 19:45,237.9,-8.43
1/29/2023 20:00,237.9,-8.53
1/29/2023 20:15,237.9,-8.59
1/29/2023 20:30,237.9,-8.71
1/29/2023 20:45,237.9,-9.14
1/29/2023 21:00,237.9,-9.38
1/29/2023 21:15,237.9,-9.51
1/29/2023 21:30,237.9,-9.77
1/29/2023 21:45,237.9,-9.95
1/29/2023 22:00,238,-10.24
1/29/2023 22:15,237.9,-10.22
1/29/2023 22:30,237.9,-9.98
1/29/2023 22:45,237.8,-9.85
1/29/2023 23:00,238,-10.05
1/29/2023 23:15,238,-9.81
1/29/2023 23:30,238,-9.77
1/29/2023 23:45,238,-9.77
1/30/2023 0:00,238,-9.89
1/30/2023 0:15,238,-10.15
1/30/2023 0:30,237.9,-10.45
1/30/2023 0:45,238,-10.81
1/30/2023 1:00,237.8,-11.2
1/30/2023 1:15,238,-11.38
1/30/2023 1:30,238,-11.86
1/30/2023 1:45,238,-12.74
1/30/2023 2:00,237.9,-13.33
1/30/2023 2:15,237.9,-13.21
1/30/2023 2:30,237.9,-13.57
1/30/2023 2:45,237.9,-13.74
1/30/2023 3:00,238,-13.92
1/30/2023 3:15,238,-13.75
1/30/2023 3:30,237.9,-13.06
1/30/2023 3:45,237.9,-13.94
1/30/2023 4:00,238,-14.1
1/30/2023 4:15,237.9,-14.17
1/30/2023 4:30,238,-14.19
1/30/2023 4:45,237.9,-14.49
1/30/2023 5:00,238,-14.55
1/30/2023 5:15,237.9,-14.65
1/30/2023 5:30,237.9,-14.57
1/30/2023 5:45,238,-14.53
1/30/2023 6:00,237.9,-14.83
1/30/2023 6:15,237.9,-15.06
1/30/2023 6:30,238,-14.96
1/30/2023 6:45,238,-15.16
1/30/2023 7:00,237.9,-15.19
1/30/2023 7:15,237.9,-15.05
1/30/2023 7:30,237.9,-15.12
1/30/2023 7:45,237.8,-15.24
1/30/2023 8:00,237.9,-15.34
1/30/2023 8:15,237.9,-15.48
1/30/2023 8:30,237.9,-15.4
1/30/2023 8:45,237.9,-15.32
1/30/2023 9:00,237.9,-14.36
1/30/2023 9:15,238,-14.2
1/30/2023 9:30,238,-13.75
1/30/2023 9:45,238.1,-13.55
1/30/2023 10:00,238,-12.31
1/30/2023 10:15,238.1,-10.52
1/30/2023 10:30,238,-9.89
1/30/2023 10:45,238,-10.24
1/30/2023 11:00,238,-9.99
1/30/2023 11:15,238,-9.51
1/30/2023 11:30,238,-10.26
1/30/2023 11:45,238.2,-9.24
1/30/2023 12:00,237.7,-9.51
1/30/2023 12:15,238,-9.12
1/30/2023 12:30,237.9,-9.28
1/30/2023 12:45,237.9,-8.87
1/30/2023 13:00,237.6,-8.96
1/30/2023 13:15,237.8,-9.59
1/30/2023 13:30,237.9,-8.61
1/30/2023 13:45,237.8,-8.85
1/30/2023 14:00,237.9,-7.962
1/30/2023 14:15,237.9,-7.678
1/30/2023 14:30,238,-7.658
1/30/2023 14:45,237.9,-7.841
1/30/2023 15:00,237.9,-6.886
1/30/2023 15:15,237.9,-7.861
1/30/2023 15:30,237.9,-8.02
1/30/2023 15:45,237.7,-7.424
1/30/2023 16:00,237.6,-7.688
1/30/2023 16:15,237.8,-7.8
1/30/2023 16:30,237.8,-7.76
1/30/2023 16:45,237.8,-7.09
1/30/2023 17:00,237.7,-8.43
1/30/2023 17:15,237.8,-9.12
1/30/2023 17:30,237.7,-9.56
1/30/2023 17:45,237.8,-9.89
1/30/2023 18:00,237.7,-10.3
1/30/2023 18:15,237.7,-10.64
1/30/2023 18:30,237.8,-10.72
1/30/2023 18:45,237.8,-11.52
1/30/2023 19:00,237.8,-11.68
1/30/2023 19:15,237.8,-12.19
1/30/2023 19:30,237.8,-12.43
1/30/2023 19:45,237.8,-12.49
1/30/2023 20:00,237.8,-12.72
1/30/2023 20:15,237.9,-12.95
1/30/2023 20:30,237.9,-12.8
1/30/2023 20:45,237.8,-12.7
1/30/2023 21:00,237.9,-12.7
1/30/2023 21:15,237.8,-12.55
1/30/2023 21:30,237.9,-12.37
1/30/2023 21:45,238,-12.77
1/30/2023 22:00,237.8,-12.99
1/30/2023 22:15,237.9,-13.14
1/30/2023 22:30,238,-12.81
1/30/2023 22:45,237.9,-12.73
1/30/2023 23:00,237.9,-12.8
1/30/2023 23:15,237.9,-12.84
1/30/2023 23:30,238,-12.81
1/30/2023 23:45,238,-12.92
1/31/2023 0:00,238,-12.99
1/31/2023 0:15,237.9,-12.7
1/31/2023 0:30,237.9,-12.78
1/31/2023 0:45,238,-12.51
1/31/2023 1:00,237.9,-12.43
1/31/2023 1:15,238,-12.36
1/31/2023 1:30,238,-12.37
1/31/2023 1:45,237.9,-12.38
1/31/2023 2:00,238,-12.53
1/31/2023 2:15,238,-12.11
1/31/2023 2:30,238,-12.21
1/31/2023 2:45,238,-12.18
1/31/2023 3:00,238,-12.08
1/31/2023 3:15,237.9,-12.13
1/31/2023 3:30,237.9,-11.96
1/31/2023 3:45,238,-11.76
1/31/2023 4:00,237.9,-11.54
1/31/2023 4:15,238,-11.54
1/31/2023 4:30,237.9,-11.46
1/31/2023 4:45,237.9,-12.12
1/31/2023 5:00,237.9,-12.23
1/31/2023 5:15,237.9,-12.09
1/31/2023 5:30,237.9,-11.91
1/31/2023 5:45,237.9,-12.35
1/31/2023 6:00,237.9,-12.35
1/31/2023 6:15,237.9,-12.07
1/31/2023 6:30,237.9,-12.13
1/31/2023 6:45,238,-12.43
1/31/2023 7:00,238,-12.62
1/31/2023 7:15,238,-12.7
1/31/2023 7:30,238,-12.43
1/31/2023 7:45,238,-12.27
1/31/2023 8:00,238,-11.88
1/31/2023 8:15,238,-11.5
1/31/2023 8:30,238,-11.5
1/31/2023 8:45,238,-11.05
1/31/2023 9:00,237.9,-10.68
1/31/2023 9:15,238,-9.69
1/31/2023 9:30,238.1,-9.79
1/31/2023 9:45,238.1,-9.46
1/31/2023 10:00,238,-9.34
1/31/2023 10:15,238,-9.42
1/31/2023 10:30,238,-8.94
1/31/2023 10:45,238,-8.97
1/31/2023 11:00,237.9,-8.98
1/31/2023 11:15,237.9,-8.97
1/31/2023 11:30,237.9,-8.75
1/31/2023 11:45,237.9,-8.59
1/31/2023 12:00,237.9,-8.41
1/31/2023 12:15,238,-7.576
1/31/2023 12:30,237.9,-8.17
1/31/2023 12:45,237.9,-7.587
1/31/2023 13:00,238,-8.16
1/31/2023 13:15,238,-7.668
1/31/2023 13:30,238,-7.414
1/31/2023 13:45,237.9,-7.171
1/31/2023 14:00,238,-6.866
1/31/2023 14:15,238,-7.059
1/31/2023 14:30,238,-7.252
1/31/2023 14:45,238,-7.181
1/31/2023 15:00,238,-7.15
1/31/2023 15:15,237.9,-7.048
1/31/2023 15:30,238,-7.232
1/31/2023 15:45,237.9,-6.947
1/31/2023 16:00,238,-6.866
1/31/2023 16:15,238,-6.664
1/31/2023 16:30,237.9,-6.886
1/31/2023 16:45,237.9,-6.928
1/31/2023 17:00,237.9,-7.13
1/31/2023 17:15,237.9,-7.364
1/31/2023 17:30,237.9,-7.474
1/31/2023 17:45,237.9,-7.576
1/31/2023 18:00,237.9,-7.576
1/31/2023 18:15,237.9,-7.598
1/31/2023 18:30,237.9,-7.749
1/31/2023 18:45,237.9,-7.76
1/31/2023 19:00,237.9,-7.82
1/31/2023 19:15,237.9,-7.902
1/31/2023 19:30,237.9,-7.902
1/31/2023 19:45,238,-7.942
1/31/2023 20:00,238,-7.952
1/31/2023 20:15,237.9,-7.962
1/31/2023 20:30,237.9,-8.06
1/31/2023 20:45,238,-8.04
1/31/2023 21:00,237.9,-8.06
1/31/2023 21:15,237.9,-8.07
1/31/2023 21:30,237.9,-8.02
1/31/2023 21:45,237.9,-8.22
1/31/2023 22:00,237.9,-8.57
1/31/2023 22:15,237.9,-8.77
1/31/2023 22:30,237.9,-8.85
1/31/2023 22:45,238,-9.04
1/31/2023 23:00,237.9,-9.74
1/31/2023 23:15,237.9,-10.18
1/31/2023 23:30,237.9,-10
1/31/2023 23:45,238,-10.01
2/1/2023 0:00,238,-10.16
2/1/2023 0:15,238,-10.36
2/1/2023 0:30,238,-10.34
2/1/2023 0:45,237.9,-10.85
2/1/2023 1:00,238,-10.62
2/1/2023 1:15,237.9,-11.11
2/1/2023 1:30,237.8,-10.82
2/1/2023 1:45,238,-11.31
2/1/2023 2:00,238,-11.09
2/1/2023 2:15,238,-10.3
2/1/2023 2:30,238,-9.81
2/1/2023 2:45,238,-9.32
2/1/2023 3:00,238,-9
2/1/2023 3:15,238,-9.04
2/1/2023 3:30,238.1,-8.98
2/1/2023 3:45,238.1,-9.43
2/1/2023 4:00,238,-9.83
2/1/2023 4:15,238,-10.64
2/1/2023 4:30,238,-11.07
2/1/2023 4:45,238,-10.73
2/1/2023 5:00,238,-10.38
2/1/2023 5:15,238,-10.18
2/1/2023 5:30,238,-10.77
2/1/2023 5:45,238,-10.64
2/1/2023 6:00,238,-10.85
2/1/2023 6:15,238,-11.03
2/1/2023 6:30,238,-11.24
2/1/2023 6:45,238,-11.07
2/1/2023 7:00,238,-10.94
2/1/2023 7:15,238,-10.64
2/1/2023 7:30,238,-10.68
2/1/2023 7:45,238,-10.86
2/1/2023 8:00,238,-11.44
2/1/2023 8:15,238,-11.56
2/1/2023 8:30,238,-11.27
2/1/2023 8:45,238,-11.45
2/1/2023 9:00,238,-10.4
2/1/2023 9:15,238.1,-8.59
2/1/2023 9:30,238.1,-7.658
2/1/2023 9:45,238.1,-7.678
2/1/2023 10:00,238.1,-7.21
2/1/2023 10:15,238.1,-6.014
2/1/2023 10:30,238.1,-7.028
2/1/2023 10:45,238,-7.464
2/1/2023 11:00,238,-6.562
2/1/2023 11:15,238,-6.176
2/1/2023 11:30,238.2,-5.75
2/1/2023 11:45,238.1,-6.176
2/1/2023 12:00,238,-5.091
2/1/2023 12:15,238.1,-5.791
2/1/2023 12:30,238,-5.324
2/1/2023 12:45,237.9,-4.311
2/1/2023 13:00,237.9,-4.493
2/1/2023 13:15,237.8,-3.48
2/1/2023 13:30,237.6,-3.298
2/1/2023 13:45,237.9,-3.298
2/1/2023 14:00,237.9,-3.338
2/1/2023 14:15,237.8,-3.713
2/1/2023 14:30,237.9,-3.176
2/1/2023 14:45,237.9,-2.81
2/1/2023 15:00,237.7,-2.142
2/1/2023 15:15,237.8,-2.204
2/1/2023 15:30,237.8,-2.568
2/1/2023 15:45,237.8,-1.748
2/1/2023 16:00,237.8,-1.232
2/1/2023 16:15,237.7,-2.152
2/1/2023 16:30,237.7,-1.889
2/1/2023 16:45,237.8,-2.061
2/1/2023 17:00,237.8,-1.738
2/1/2023 17:15,237.8,-2.609
2/1/2023 17:30,237.8,-3.338
2/1/2023 17:45,237.8,-3.946
2/1/2023 18:00,237.8,-3.358
2/1/2023 18:15,237.8,-3.327
2/1/2023 18:30,237.8,-4.148
2/1/2023 18:45,237.7,-3.794
2/1/2023 19:00,237.8,-4.614
2/1/2023 19:15,237.8,-4.716
2/1/2023 19:30,237.8,-4.574
2/1/2023 19:45,237.9,-4.352
2/1/2023 20:00,237.8,-4.473
2/1/2023 20:15,237.9,-4.918
2/1/2023 20:30,238,-5.568
2/1/2023 20:45,237.9,-5.71
2/1/2023 21:00,237.9,-4.96
2/1/2023 21:15,237.9,-6.633
2/1/2023 21:30,237.9,-6.582
2/1/2023 21:45,237.9,-7.76
2/1/2023 22:00,237.9,-7.414
2/1/2023 22:15,237.9,-7.11
2/1/2023 22:30,237.9,-7.454
2/1/2023 22:45,237.9,-7.394
2/1/2023 23:00,237.9,-7.292
2/1/2023 23:15,237.9,-7.069
2/1/2023 23:30,238,-7.516
2/1/2023 23:45,237.9,-7.191
2/2/2023 0:00,237.9,-6.988
2/2/2023 0:15,237.9,-6.906
2/2/2023 0:30,237.9,-6.866
2/2/2023 0:45,237.9,-6.47
2/2/2023 1:00,237.9,-6.988
2/2/2023 1:15,237.9,-6.947
2/2/2023 1:30,237.9,-7.598
2/2/2023 1:45,238,-8.23
2/2/2023 2:00,237.9,-7.485
2/2/2023 2:15,237.9,-7.982
2/2/2023 2:30,238,-8.92
2/2/2023 2:45,237.9,-8.92
2/2/2023 3:00,237.9,-8.17
2/2/2023 3:15,237.9,-7.81
2/2/2023 3:30,237.9,-7.78
2/2/2023 3:45,237.9,-8.06
2/2/2023 4:00,237.9,-7.8
2/2/2023 4:15,238,-7.454
2/2/2023 4:30,237.9,-7.921
2/2/2023 4:45,238,-8.1
2/2/2023 5:00,238,-8.33
2/2/2023 5:15,238,-8.44
2/2/2023 5:30,238,-8.64
2/2/2023 5:45,238,-9.31
2/2/2023 6:00,237.9,-8.85
2/2/2023 6:15,238,-9.18
2/2/2023 6:30,238,-8.89
2/2/2023 6:45,238,-8.73
2/2/2023 7:00,238,-9.08
2/2/2023 7:15,238,-9.08
2/2/2023 7:30,238,-8.85
2/2/2023 7:45,238.1,-9.22
2/2/2023 8:00,238,-9.08
2/2/2023 8:15,238,-9.24
2/2/2023 8:30,238.1,-9.19
2/2/2023 8:45,238.1,-8.09
2/2/2023 9:00,238.1,-7.11
2/2/2023 9:15,238.1,-5.964
2/2/2023 9:30,238,-4.848
2/2/2023 9:45,238.1,-5.568
2/2/2023 10:00,238.1,-5.588
2/2/2023 10:15,238,-5.578
